Combination_Index,C,gamma,epsilon,R2
338,0.03162277660168379,1.623776739188721,0.01,-0.020685267030948085
339,0.03162277660168379,1.623776739188721,0.05,-0.020685267030948085
340,0.03162277660168379,1.623776739188721,0.1,-0.020685267030948085
341,0.03162277660168379,1.623776739188721,0.2,-0.020685267030948085
342,0.03162277660168379,1.623776739188721,0.5,-0.020685263264390352
343,0.03162277660168379,2.9763514416313193,0.001,-0.020734235615667673
344,0.03162277660168379,2.9763514416313193,0.01,-0.020734235615667673
345,0.03162277660168379,2.9763514416313193,0.05,-0.020734235615667673
346,0.03162277660168379,2.9763514416313193,0.1,-0.020734235615667673
347,0.03162277660168379,2.9763514416313193,0.2,-0.020734235615667673
348,0.03162277660168379,2.9763514416313193,0.5,-0.020734235426556946
349,0.03162277660168379,5.455594781168514,0.001,-0.020748150746143335
350,0.03162277660168379,5.455594781168514,0.01,-0.020748150746143335
351,0.03162277660168379,5.455594781168514,0.05,-0.020748150746143335
352,0.03162277660168379,5.455594781168514,0.1,-0.020748150746143335
353,0.03162277660168379,5.455594781168514,0.2,-0.020748150746143335
354,0.03162277660168379,5.455594781168514,0.5,-0.020748150745377725
355,0.03162277660168379,10.0,0.001,-0.020751457517829364
356,0.03162277660168379,10.0,0.01,-0.020751457517829364
357,0.03162277660168379,10.0,0.05,-0.020751457517829364
358,0.03162277660168379,10.0,0.1,-0.020751457517829364
359,0.03162277660168379,10.0,0.2,-0.020751457517829364
360,0.03162277660168379,10.0,0.5,-0.020751457517829364
361,0.05623413251903491,0.0001,0.001,-0.020621779097226067
362,0.05623413251903491,0.0001,0.01,-0.020621779097226067
363,0.05623413251903491,0.0001,0.05,-0.020621779097226067
364,0.05623413251903491,0.0001,0.1,-0.020621779097226067
365,0.05623413251903491,0.0001,0.2,-0.020621779097226067
366,0.05623413251903491,0.0001,0.5,-0.02062168657042429
367,0.05623413251903491,0.00018329807108324357,0.001,-0.02051422855818208
368,0.05623413251903491,0.00018329807108324357,0.01,-0.02051422855818208
369,0.05623413251903491,0.00018329807108324357,0.05,-0.02051422855818208
370,0.05623413251903491,0.00018329807108324357,0.1,-0.02051422855818208
371,0.05623413251903491,0.00018329807108324357,0.2,-0.02051422855818208
372,0.05623413251903491,0.00018329807108324357,0.5,-0.02051405925565386
373,0.05623413251903491,0.0003359818286283781,0.001,-0.020319401814883564
374,0.05623413251903491,0.0003359818286283781,0.01,-0.020319401814883564
375,0.05623413251903491,0.0003359818286283781,0.05,-0.020319401814883342
376,0.05623413251903491,0.0003359818286283781,0.1,-0.020319401814883342
377,0.05623413251903491,0.0003359818286283781,0.2,-0.020319401814883564
378,0.05623413251903491,0.0003359818286283781,0.5,-0.020319092847625342
379,0.05623413251903491,0.0006158482110660267,0.001,-0.019969200806565723
380,0.05623413251903491,0.0006158482110660267,0.01,-0.019969200806565723
381,0.05623413251903491,0.0006158482110660267,0.05,-0.019969200806565723
382,0.05623413251903491,0.0006158482110660267,0.1,-0.019969200806565723
